name	strict	exception	1y_tr	1y_pnl	1y_pdd	2y_pnl	2y_pdd	10y_pnl	10y_pdd	d1_pnl	d2_pnl	d10_pnl	d1_pdd	d2_pdd	d10_pdd
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_022_a0p90_b0p95_sm0p036_sl0p0185_sh0p55	0	0	727	23283.00	1.0469	40137.37	1.5879	-67872.58	-0.8040	8899.60	24762.57	-12130.43	-0.0589	0.6273	0.0586
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_021_a0p90_b0p95_sm0p036_sl0p0185_sh0p45	0	0	727	23283.00	1.0469	40137.37	1.5879	-67872.58	-0.8040	8899.60	24762.57	-12130.43	-0.0589	0.6273	0.0586
r8r_r7t2_r5c2_s01_base_h7_sm0_0388_med_c_094_a0p90_b0p95_sm0p036_sl0p0185_sh0p55	0	0	709	22446.95	1.0721	37726.00	1.6024	-64141.11	-0.8060	8063.56	22351.20	-8398.95	-0.0337	0.6419	0.0566
r8r_r7t2_r5c2_s01_base_h7_sm0_0388_med_c_093_a0p90_b0p95_sm0p036_sl0p0185_sh0p45	0	0	709	22446.95	1.0721	37726.00	1.6024	-64141.11	-0.8060	8063.56	22351.20	-8398.95	-0.0337	0.6419	0.0566
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_019_a0p90_b0p95_sm0p034_sl0p0180_sh0p45	0	0	737	22161.71	0.9659	33779.78	1.3441	-68665.43	-0.8153	7778.32	18404.97	-12923.28	-0.1399	0.3835	0.0473
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_020_a0p90_b0p95_sm0p034_sl0p0180_sh0p55	0	0	737	22161.71	0.9659	33779.78	1.3441	-68665.43	-0.8153	7778.32	18404.97	-12923.28	-0.1399	0.3835	0.0473
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_015_a0p90_b0p95_sm0p030_sl0p0170_sh0p45	0	0	778	21867.27	1.0567	33011.43	1.4619	-71815.43	-0.8217	7483.88	17636.62	-16073.28	-0.0491	0.5014	0.0409
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_016_a0p90_b0p95_sm0p030_sl0p0170_sh0p55	0	0	778	21867.27	1.0567	33011.43	1.4619	-71815.43	-0.8217	7483.88	17636.62	-16073.28	-0.0491	0.5014	0.0409
r8r_r7t2_r5c2_s01_base_h7_sm0_0388_med_c_070_a0p90_b0p95_sm0p036_sl0p0185_sh0p55	0	0	710	21168.50	1.0648	37249.74	1.6544	-60745.73	-0.7912	6785.10	21874.94	-5003.58	-0.0410	0.6939	0.0714
r8r_r7t2_r5c2_s01_base_h7_sm0_0388_med_c_069_a0p90_b0p95_sm0p036_sl0p0185_sh0p45	0	0	710	21168.50	1.0648	37249.74	1.6544	-60745.73	-0.7912	6785.10	21874.94	-5003.58	-0.0410	0.6939	0.0714
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_010_a0p75_b0p80_sm0p036_sl0p0185_sh0p55	0	0	726	19713.66	1.0458	35298.94	1.6577	-60125.56	-0.7784	5330.27	19924.14	-4383.41	-0.0600	0.6972	0.0842
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_009_a0p75_b0p80_sm0p036_sl0p0185_sh0p45	0	0	726	19713.66	1.0458	35298.94	1.6577	-60125.56	-0.7784	5330.27	19924.14	-4383.41	-0.0600	0.6972	0.0842
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_003_a0p75_b0p80_sm0p030_sl0p0170_sh0p45	0	0	776	18087.25	1.0261	26804.47	1.4159	-63683.08	-0.8026	3703.85	11429.66	-7940.93	-0.0797	0.4554	0.0600
r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_004_a0p75_b0p80_sm0p030_sl0p0170_sh0p55	0	0	776	18087.25	1.0261	26804.47	1.4159	-63683.08	-0.8026	3703.85	11429.66	-7940.93	-0.0797	0.4554	0.0600
r7t1_r4c_074_km03_tight_h3_sm0p0388_sl0p0_ctl	0	0	711	14383.39	1.1058	15374.80	0.9605	-55742.15	-0.8626	0.00	0.00	0.00	0.0000	0.0000	0.0000
r7t1_opt1_016_neutral_atr_compress_r3_hyb_ctl	0	0	703	9216.12	0.8550	10156.85	0.7548	-49167.66	-0.8627	-5167.27	-5217.96	6574.49	-0.2509	-0.2057	-0.0001
