variant	n	mean_d1_pnl	mean_d2_pnl	mean_d10_pnl	mean_d1_pdd	mean_d2_pdd	mean_d10_pdd	win1p	win2p	win10p
ctl	16	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0
dboth	16	-334.4304109375257	-343.17806737503577	-1204.6730608129042	-0.02255433381995968	-0.02944700601734987	-0.006002036181999619	0	0	3
dhtr	16	-334.4304109375257	-343.17806737503577	-1216.268854312947	-0.02255433381995968	-0.02944700601734987	-0.006035569751617238	0	0	3
dstr	16	-176.23072843752595	-194.81406987503226	-1139.1457071878704	-0.011832167470174251	-0.02060041750929411	-0.0050566947000690796	0	0	0
