name	strict	exception	1y_tr	1y_pnl	1y_pdd	2y_pnl	2y_pdd	10y_pnl	10y_pdd	d1_pnl	d2_pnl	d10_pnl	d1_pdd	d2_pdd	d10_pdd
r5b2_km03_atr_soft_none_h3_sh1.35_1.25	0	0	713	14124.52	1.0881	15091.07	0.9311	-57233.73	-0.8692	-258.88	-283.73	-1491.57	-0.0177	-0.0294	-0.0066
r5b2_km03_atr_soft_trendbias_h3_sh1.33_1.23	0	0	713	14124.52	1.0881	15091.07	0.9311	-57233.73	-0.8692	-258.88	-283.73	-1491.57	-0.0177	-0.0294	-0.0066
r5b2_km03_off_trendbias_h3_sh1.37_1.27	0	0	713	14124.52	1.0881	15091.07	0.9311	-57233.73	-0.8692	-258.88	-283.73	-1491.57	-0.0177	-0.0294	-0.0066
r5a_km03_h3_sm0.0390_sl0.0192_sh1.32_1.22_gpermission	0	0	713	14110.32	1.0868	15076.32	0.9299	-57246.93	-0.8693	-273.07	-298.48	-1504.78	-0.0190	-0.0307	-0.0067
r5c2_s01_base_h5_sm0.0388	0	0	708	13289.81	0.9397	14684.32	0.9285	-56145.10	-0.8693	-1093.58	-690.48	-402.95	-0.1661	-0.0320	-0.0067
r5a_km03_h3_sm0.0392_sl0.0192_sh1.35_1.25_gpermission	0	0	714	14096.70	1.0852	15060.85	0.9288	-57255.78	-0.8694	-286.69	-313.96	-1513.63	-0.0206	-0.0318	-0.0068
r5c2_s01_base_h5_sm0.0390	0	0	709	13267.30	0.9384	14675.54	0.9279	-56211.48	-0.8696	-1116.09	-699.26	-469.32	-0.1674	-0.0326	-0.0070
r5a_km03_h2_sm0.0388_sl0.0192_sh1.35_1.25_gpermission	0	0	714	13739.18	1.0614	14701.45	0.9068	-57542.67	-0.8722	-644.21	-673.36	-1800.51	-0.0444	-0.0537	-0.0096
r5a_km03_h2_sm0.0390_sl0.0192_sh1.40_1.30_gpermission	0	0	714	13733.02	1.0613	14682.00	0.9053	-57550.97	-0.8723	-650.37	-692.80	-1808.82	-0.0445	-0.0552	-0.0097
r5a_km03_h1_sm0.0384_sl0.0192_sh1.35_1.25_gpermission	0	0	710	13690.30	1.0591	15332.68	0.9785	-57551.42	-0.8723	-693.09	-42.12	-1809.27	-0.0468	0.0180	-0.0097
r5a_km03_h1_sm0.0386_sl0.0192_sh1.40_1.30_gpermission	0	0	711	14356.68	1.1043	15317.59	0.9774	-57554.60	-0.8723	-26.71	-57.22	-1812.45	-0.0015	0.0169	-0.0097
r5a_km03_h1_sm0.0390_sl0.0192_sh1.37_1.27_gpermission	0	0	712	14316.57	1.0999	15288.42	0.9752	-57593.43	-0.8725	-66.82	-86.39	-1851.28	-0.0059	0.0146	-0.0099
r5a_km03_h1_sm0.0386_sl0.0194_sh1.37_1.27_goff	0	0	700	13751.14	1.0435	15670.54	0.9674	-57579.10	-0.8727	-632.25	295.73	-1836.95	-0.0623	0.0069	-0.0101
r5a_km03_h1_sm0.0390_sl0.0194_sh1.33_1.23_goff	0	0	700	14292.71	1.0793	15635.09	0.9651	-57600.28	-0.8729	-90.68	260.28	-1858.12	-0.0265	0.0046	-0.0103
r5a_km03_h1_sm0.0392_sl0.0194_sh1.32_1.22_goff	0	0	700	14283.64	1.0786	15627.01	0.9646	-57622.25	-0.8730	-99.75	252.21	-1880.10	-0.0272	0.0040	-0.0104
r5a_km03_h1_sm0.0390_sl0.0194_sh1.32_1.22_gpermission	0	0	702	14134.09	1.0690	15464.44	0.9465	-58664.81	-0.8778	-249.30	89.63	-2922.66	-0.0368	-0.0140	-0.0152
r5a_km03_h1_sm0.0392_sl0.0194_sh1.35_1.25_gpermission	0	0	702	14128.13	1.0686	15448.51	0.9453	-58736.88	-0.8780	-255.26	73.71	-2994.73	-0.0372	-0.0152	-0.0154
