SLV spot evolve sweep (2024-01-08 -> 2026-01-08, use_rth=True, bar_size=10 mins, offline=True, base=champion, axis=exit_pivot, jobs=12, long_only=False realism=v2 spread=0.01 comm=0.005 comm_min=1 slip=0 sizing=risk_pct risk=0.01 max_notional=0.5)

=== exit_pivot: seeded exit pivot micro-grid ===
- seeds_in_file=80 selected=1 seed_top=2
- seed_path=backtests/slv/slv_exec5m_seed_v25_as_10m_rth_top80.json

exit_pivot tested=100 kept=74 rate=1.6/s
exit_pivot tested=200 kept=153 rate=1.6/s

exit_pivot (seeded exit pivot) — Top by pnl/dd
----------------------------------------------
17. tr=1883 win= 50.5% pnl=  -14109.9 dd= 21621.8 pnl/dd= -0.65 roi=-14.11% dd%= 21.62% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=0.006 SL=0.008
18. tr=1883 win= 50.5% pnl=  -14125.5 dd= 21635.3 pnl/dd= -0.65 roi=-14.13% dd%= 21.64% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=0.006 SL=0.008
19. tr=1527 win= 58.8% pnl=  -27655.9 dd= 40782.1 pnl/dd= -0.68 roi=-27.66% dd%= 40.78% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.01
20. tr=1539 win= 58.3% pnl=  -28326.2 dd= 41334.4 pnl/dd= -0.69 roi=-28.33% dd%= 41.33% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=0 only_profit=0 | PT=0.006 SL=0.01
21. tr=1976 win= 60.0% pnl=  -18175.5 dd= 24925.0 pnl/dd= -0.73 roi=-18.18% dd%= 24.92% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=0.004 SL=0.012
22. tr=1974 win= 60.1% pnl=  -18221.5 dd= 24970.9 pnl/dd= -0.73 roi=-18.22% dd%= 24.97% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=0.004 SL=0.012
23. tr=1052 win= 50.2% pnl=  -13214.2 dd= 17111.5 pnl/dd= -0.77 roi=-13.21% dd%= 17.11% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=0 | PT=0.006 SL=0.008
24. tr=1052 win= 50.2% pnl=  -13227.2 dd= 17123.3 pnl/dd= -0.77 roi=-13.23% dd%= 17.12% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=1 | PT=0.006 SL=0.008
25. tr=1704 win= 54.3% pnl=  -30703.3 dd= 39702.6 pnl/dd= -0.77 roi=-30.70% dd%= 39.70% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.008

exit_pivot (seeded exit pivot) — Top by pnl
-------------------------------------------
 1. tr=1055 win= 41.6% pnl=   17292.9 dd= 17418.8 pnl/dd=  0.99 roi= 17.29% dd%= 17.42% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=None SL=0.008
 2. tr=1055 win= 41.6% pnl=   17274.7 dd= 17434.0 pnl/dd=  0.99 roi= 17.27% dd%= 17.43% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=None SL=0.008
