rank	track	name	pnl_1y	dd_1y	pnl_over_dd_1y	trades_1y
1	t2	r7t2_r5c2_s01_base_h7_sm0_0388_med_c1_bfirst_def	24512.49		1.0817	701
2	t2	r7t2_r5c2_s01_base_h7_sm0_0388_hard_c1_bfirst_def	24512.49		1.0817	701
3	t2	r7t2_r5c2_s01_base_h7_sm0_0388_soft_c1_bfirst_def	24510.12		1.0815	701
4	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_med_c1_bfirst_def	23301.09		1.0530	715
5	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_hard_c1_bfirst_def	23301.09		1.0530	715
6	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_soft_c1_bfirst_def	23297.85		1.0527	715
7	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_med_c1_bfirst_def	23289.92		1.0527	715
8	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_hard_c1_bfirst_def	23289.92		1.0527	715
9	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_soft_c1_bfirst_def	23284.92		1.0522	715
10	t2	r7t2_r5c2_s01_base_h7_sm0_0388_med_c5_bfirst_damp	23176.02		1.0939	703
11	t2	r7t2_r5c2_s01_base_h7_sm0_0388_hard_c5_bfirst_damp	23176.02		1.0939	703
12	t2	r7t2_r5c2_s01_base_h7_sm0_0388_soft_c5_bfirst_damp	23171.28		1.0934	703
13	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_med_c1_bfirst_def	22907.16		1.0389	718
14	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_hard_c1_bfirst_def	22907.16		1.0389	718
15	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_soft_c1_bfirst_def	22902.42		1.0384	718
16	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_med_c2_bfirst_bal	22625.67		1.8003	702
17	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_hard_c2_bfirst_bal	22625.67		1.8003	702
18	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_soft_c2_bfirst_bal	22622.52		1.7996	702
19	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_med_c2_bfirst_bal	22605.21		1.7979	702
20	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_hard_c2_bfirst_bal	22605.21		1.7979	702
21	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_soft_c2_bfirst_bal	22602.84		1.7973	702
22	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_med_c5_bfirst_damp	22246.24		1.0723	717
23	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_hard_c5_bfirst_damp	22246.24		1.0723	717
24	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_soft_c5_bfirst_damp	22242.86		1.0719	717
25	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_med_c5_bfirst_damp	22236.44		1.0715	717
26	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_hard_c5_bfirst_damp	22236.44		1.0715	717
27	t2	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_soft_c5_bfirst_damp	22234.53		1.0713	717
28	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_med_c5_bfirst_damp	21843.23		1.0560	720
29	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_hard_c5_bfirst_damp	21843.23		1.0560	720
30	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_soft_c5_bfirst_damp	21839.93		1.0557	720
31	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_med_c2_bfirst_bal	17993.76		1.4871	706
32	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_hard_c2_bfirst_bal	17993.76		1.4871	706
