rank	track	name	pnl_1y	dd_1y	pnl_over_dd_1y	trades_1y
33	t2	r7t2_r4c_074_km03_tight_h3_sm0p0388_sl0p0_soft_c2_bfirst_bal	17987.03		1.4858	706
34	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_med_c3_afirst_momo	10804.74		0.6123	716
35	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_hard_c3_afirst_momo	10804.74		0.6123	716
36	t2	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_soft_c3_afirst_momo	10794.94		0.6115	716
37	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_ctl	14517.07		1.1145	709
38	t1	r7t1_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_ctl	14498.13		1.1132	710
39	t1	r7t1_r4c_074_km03_tight_h3_sm0p0388_sl0p0_ctl	14383.39		1.1058	711
40	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_ac_loose_def	14356.68		1.1043	711
41	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_tb_loose_hybrid	14356.68		1.1043	711
42	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_ac_mid_dynhtr	14356.68		1.1043	711
43	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_ac_tight_def	14356.68		1.1043	711
44	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_tb_tight_hybrid	14356.68		1.1043	711
45	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_tb_mid_sprobe	14356.68		1.1043	711
46	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_ac_mid_dynhatrtr	14356.68		1.1043	711
47	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_ac_mid_def	14356.68		1.1043	711
48	t1	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_tb_mid_hybrid	14356.68		1.1043	711
49	t1	r7t1_opt1_016_neutral_atr_compress_r3_hyb_ac_mid_dynhtr	9231.87		0.8564	703
50	t1	r7t1_opt1_016_neutral_atr_compress_r3_hyb_ac_mid_dynhatrtr	9231.87		0.8564	703
51	t1	r7t1_opt1_016_neutral_atr_compress_r3_hyb_tb_mid_dynhatrtr	9231.87		0.8564	703
52	t1	r7t1_opt1_016_neutral_atr_compress_r3_hyb_ctl	9216.12		0.8550	703
