rank	track	name	pnl_1y	dd_1y	trades_1y	pnl_over_dd_1y
51	track1	opt1_016_neutral_atr_compress_r3_hybrid_mid_o2_mid	9216.12	10779.54	703	0.8550
52	track1	r4a_108_h5_sm0p039_sl0p0192_state_permission	9216.12	10779.54	703	0.8550
53	track1	r4a_010_h4_sm0p0385_sl0p0192_entry_permission	9214.81	10760.48	701	0.8564
54	track1	r4a_011_h4_sm0p0385_sl0p0192_state_off	9214.81	10760.48	701	0.8564
55	track1	r4a_009_h4_sm0p0385_sl0p0192_entry_off	9214.81	10760.48	701	0.8564
56	track1	r4a_012_h4_sm0p0385_sl0p0192_state_permission	9214.81	10760.48	701	0.8564
57	track1	r4a_121_h5_sm0p0395_sl0p0192_entry_off	9188.22	10781.66	704	0.8522
58	track1	r4a_124_h5_sm0p0395_sl0p0192_state_permission	9188.22	10781.66	704	0.8522
59	track1	r4a_122_h5_sm0p0395_sl0p0192_entry_permission	9188.22	10781.66	704	0.8522
60	track1	r4a_123_h5_sm0p0395_sl0p0192_state_off	9188.22	10781.66	704	0.8522
61	track1	r4a_025_h4_sm0p039_sl0p0192_entry_off	9167.51	10766.83	705	0.8515
62	track1	r4a_028_h4_sm0p039_sl0p0192_state_permission	9167.51	10766.83	705	0.8515
63	track1	r4a_026_h4_sm0p039_sl0p0192_entry_permission	9167.51	10766.83	705	0.8515
64	track1	r4a_027_h4_sm0p039_sl0p0192_state_off	9167.51	10766.83	705	0.8515
