rank	track	name	pnl_1y	dd_1y	trades_1y	pnl_over_dd_1y
1	track3	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	14383.39	13007.06	711	1.1058
2	track3	r4c_077_km03_tight_h3_sm0p039_sl0p0192	14355.51	13014.07	712	1.1031
3	track3	r4c_080_km03_tight_h3_sm0p0392_sl0p0192	14349.28	13014.68	712	1.1025
4	track3	r4c_083_km03_tight_h3_sm0p0394_sl0p0192	14335.07	13015.78	713	1.1014
5	track2	r4b_023_aggressive_trend_bias_rz_off_ov_mid_st_med	14268.39	14221.98	723	1.0033
6	track2	r4b_029_aggressive_trend_bias_rz_atr_soft_ov_mid_st_med	14268.39	14221.98	723	1.0033
7	track2	r4b_024_aggressive_trend_bias_rz_off_ov_mid_st_hard	14268.39	14221.98	723	1.0033
8	track2	r4b_030_aggressive_trend_bias_rz_atr_soft_ov_mid_st_hard	14268.39	14221.98	723	1.0033
9	track2	r4b_022_aggressive_trend_bias_rz_off_ov_mid_st_soft	14262.85	14227.52	723	1.0025
10	track2	r4b_028_aggressive_trend_bias_rz_atr_soft_ov_mid_st_soft	14262.85	14227.52	723	1.0025
11	track3	r4c_081_km03_tight_h3_sm0p0392_sl0p0194	14139.36	13222.70	702	1.0693
12	track2	r4b_020_aggressive_trend_bias_rz_off_ov_tight_st_med	14136.35	14210.84	723	0.9948
13	track2	r4b_026_aggressive_trend_bias_rz_atr_soft_ov_tight_st_med	14136.35	14210.84	723	0.9948
14	track2	r4b_021_aggressive_trend_bias_rz_off_ov_tight_st_hard	14136.35	14210.84	723	0.9948
15	track2	r4b_027_aggressive_trend_bias_rz_atr_soft_ov_tight_st_hard	14136.35	14210.84	723	0.9948
16	track2	r4b_019_aggressive_trend_bias_rz_off_ov_tight_st_soft	14133.20	14213.99	723	0.9943
17	track2	r4b_025_aggressive_trend_bias_rz_atr_soft_ov_tight_st_soft	14133.20	14213.99	723	0.9943
18	track3	r4c_084_km03_tight_h3_sm0p0394_sl0p0194	14125.22	13231.38	702	1.0676
19	track2	r4b_005_neutral_atr_compress_rz_off_ov_mid_st_med	14116.96	14241.89	729	0.9912
20	track2	r4b_011_neutral_atr_compress_rz_atr_soft_ov_mid_st_med	14116.96	14241.89	729	0.9912
21	track2	r4b_006_neutral_atr_compress_rz_off_ov_mid_st_hard	14116.96	14241.89	729	0.9912
22	track2	r4b_012_neutral_atr_compress_rz_atr_soft_ov_mid_st_hard	14116.96	14241.89	729	0.9912
23	track2	r4b_004_neutral_atr_compress_rz_off_ov_mid_st_soft	14112.22	14246.63	729	0.9906
24	track2	r4b_010_neutral_atr_compress_rz_atr_soft_ov_mid_st_soft	14112.22	14246.63	729	0.9906
25	track2	r4b_002_neutral_atr_compress_rz_off_ov_tight_st_med	14107.48	14251.37	729	0.9899
26	track2	r4b_008_neutral_atr_compress_rz_atr_soft_ov_tight_st_med	14107.48	14251.37	729	0.9899
27	track2	r4b_003_neutral_atr_compress_rz_off_ov_tight_st_hard	14107.48	14251.37	729	0.9899
28	track2	r4b_009_neutral_atr_compress_rz_atr_soft_ov_tight_st_hard	14107.48	14251.37	729	0.9899
29	track2	r4b_001_neutral_atr_compress_rz_off_ov_tight_st_soft	14104.35	14254.50	729	0.9895
30	track2	r4b_007_neutral_atr_compress_rz_atr_soft_ov_tight_st_soft	14104.35	14254.50	729	0.9895
31	track3	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	14067.14	14259.69	701	0.9865
32	track3	r4c_065_km02_tight_h7_sm0p039_sl0p0192	14034.94	14260.01	702	0.9842
33	track3	r4c_068_km02_tight_h7_sm0p0392_sl0p0192	14023.78	14264.21	702	0.9831
34	track3	r4c_071_km02_tight_h7_sm0p0394_sl0p0192	14015.28	14265.52	703	0.9825
35	track3	r4c_075_km03_tight_h3_sm0p0388_sl0p0194	13613.25	13159.92	702	1.0344
36	track3	r4c_078_km03_tight_h3_sm0p039_sl0p0194	13595.27	13165.22	702	1.0327
37	track3	r4c_014_km01_tight_h5_sm0p0388_sl0p0192	13289.81	14142.69	708	0.9397
38	track3	r4c_026_km01_tight_h6_sm0p0388_sl0p0192	13270.16	14137.30	706	0.9387
39	track3	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	13267.30	14137.64	709	0.9384
40	track3	r4c_020_km01_tight_h5_sm0p0392_sl0p0192	13260.63	14138.19	709	0.9379
41	track3	s3g_gateoff_flipentry_h6_sl0p0192_sm0p039_ptnone	13249.32	14133.07	707	0.9375
42	track3	r4c_032_km01_tight_h6_sm0p0392_sl0p0192	13244.22	14134.90	707	0.9370
43	track3	r4c_023_km01_tight_h5_sm0p0394_sl0p0192	13239.53	14142.08	710	0.9362
44	track3	r4c_002_km01_tight_h4_sm0p0388_sl0p0192	13228.97	14129.64	710	0.9363
45	track3	r4c_035_km01_tight_h6_sm0p0394_sl0p0192	13222.67	14139.46	708	0.9352
46	track3	s3g_gateoff_flipentry_h4_sl0p0192_sm0p039_ptnone	13207.29	14129.07	711	0.9348
47	track3	r4c_008_km01_tight_h4_sm0p0392_sl0p0192	13195.73	14128.72	711	0.9340
48	track3	r4c_011_km01_tight_h4_sm0p0394_sl0p0192	13175.92	14138.86	712	0.9319
49	track1	r4a_106_h5_sm0p039_sl0p0192_entry_permission	9216.12	10779.54	703	0.8550
50	track1	r4a_107_h5_sm0p039_sl0p0192_state_off	9216.12	10779.54	703	0.8550
